Email_Text,Category
"Limited-time offer! Upgrade your plan today for 20% off.","Promotion"
"Your subscription has been renewed successfully.","Transactional"
"Reminder: Complete your profile to get personalized recommendations.","Engagement"
"Flash sale starts now! Don't miss out.","Promotion"
"Your ticket has been received. Support will reach out soon.","Transactional"
"Welcome to our newsletter! Here's what you can expect.","Engagement"
"Limited-time offer! Upgrade your plan today for 20% off.","Promotion"
"Flash sale starts now! Grab exclusive deals before they're gone.","Promotion"
"Upgrade today and enjoy premium features at a discounted rate.","Promotion"
"Don't miss out! Save big on our holiday specials.","Promotion"
"Last chance: Claim your discount before midnight.","Promotion"
"Special offer for loyal customers: Enjoy 15% off your next purchase.","Promotion"
"Exclusive bundle pricing available for this week only.","Promotion"
"Your favorite products are now on sale—check them out.","Promotion"
"New discounts have just dropped! Explore now.","Promotion"
"Unlock savings today with our monthly promotional deals.","Promotion"
"Flash deal: Get 30% off on selected subscriptions.","Promotion"
"Buy one, get one free on select services for a limited time.","Promotion"
"Special savings event—act fast before the offer expires.","Promotion"
"Limited seats! Register now and get early-bird pricing.","Promotion"
"Claim your VIP discount and enjoy premium benefits.","Promotion"
"Sign up today and get exclusive new-member pricing.","Promotion"
"Enjoy 25% off your upgrade—offer ends soon.","Promotion"
"Time-sensitive promotion: Save before prices increase.","Promotion"
"Your personalized discount is waiting—redeem now.","Promotion"
"Holiday promo: Take advantage of our biggest sale of the season.","Promotion"
"Major price drop! Explore discounted upgrades today.","Promotion"
"Get premium features for less with this limited promotion.","Promotion"
"Sale ends tonight—make your move now.","Promotion"
"Enjoy exclusive seasonal discounts across all services.","Promotion"
"Take advantage of our subscriber-only offers.","Promotion"
"Upgrade now and unlock additional savings.","Promotion"
"Discover exclusive deals available only this week.","Promotion"
"Save more when you renew early—details inside.","Promotion"
"Enjoy special pricing when you upgrade through this email.","Promotion"
"Special coupon inside—redeem before it expires.","Promotion"
"Limited-time bonus: Get extra credits with your purchase.","Promotion"
"Special rewards are waiting—claim your promotional offer.","Promotion"
"Price drop alert! Your favorite tools are now on sale.","Promotion"
"Act fast! Exclusive promotional codes inside.","Promotion"
"Unlock your offer before it expires tonight.","Promotion"
"New promotional bundles available for a short time.","Promotion"
"Discount available—upgrade today and save.","Promotion"
"Flash promotion: 24-hour savings event.","Promotion"
"Save big on advanced features with our limited promo.","Promotion"
"Your order has been shipped and is on its way.","Transactional"
"Payment received—thank you for your purchase.","Transactional"
"Your subscription renewal was successful.","Transactional"
"Invoice #12345 is now available for download.","Transactional"
"Your account statement for October is ready.","Transactional"
"Order confirmation: Thank you for shopping with us.","Transactional"
"Your refund has been processed successfully.","Transactional"
"Shipping update: Your package is expected tomorrow.","Transactional"
"Password reset request has been completed.","Transactional"
"Your order has been delivered—enjoy!","Transactional"
"Subscription activated successfully.","Transactional"
"Your billing information has been updated.","Transactional"
"Order #54321 has been cancelled per your request.","Transactional"
"Your account details were successfully updated.","Transactional"
"Payment failed: Please update your billing method.","Transactional"
"Your invoice for this month is attached.","Transactional"
"Order processed successfully and ready for shipment.","Transactional"
"Shipping label generated—track your package now.","Transactional"
"Account verification completed successfully.","Transactional"
"Your subscription will renew on 15th November.","Transactional"
"Order dispatched—track delivery progress online.","Transactional"
"Payment completed—thank you for your order.","Transactional"
"Order confirmation email with tracking info.","Transactional"
"Invoice generated—download your receipt here.","Transactional"
"Your recent transaction was successful.","Transactional"
"Account activity notification—no action needed.","Transactional"
"Payment received for your recent order.","Transactional"
